ID1,ID2
BBE_AST_9913_004131,BBE_AST_2726_000165
BBE_AST_9913_006072,BBE_AST_2726_000326
BBE_AST_9913_012117,BBE_AST_2726_000578
XYZ_AST_1943_001458,XYZ_AST_0943_000008
XYZ_AST_1943_001495,XYZ_AST_0943_000013
XYZ_AST_1943_001612,XYZ_AST_0943_000016
XYZ_AST_1943_001647,XYZ_AST_0943_000020
XYZ_AST_1943_001681,XYZ_AST_0943_000022
XYZ_AST_1943_001760,XYZ_AST_0943_000040
XYZ_AST_1943_001872,XYZ_AST_0943_000082
XYZ_AST_1943_002017,XYZ_AST_0943_000100
XYZ_AST_1943_002042,XYZ_AST_0943_000106
XYZ_AST_1943_002043,XYZ_AST_0943_000107
XYZ_AST_1943_002095,XYZ_AST_0943_000111
XYZ_AST_1943_002388,XYZ_AST_0943_000144
XYZ_AST_1943_003434,XYZ_AST_0943_000306
